,id,0000_kl08,0001_kl09,0002_kl10,0003_kl11,0004_kl12,0005_kl13,0006_kl14,0007_kl15,0008_kl16,0009_kl17,0010_kl18,0011_kl19,0012_kl20,0013_kl21,0014_kl22,0015_kl23,0016_kl00,0017_kl01,0018_kl02,0019_kl03,0020_kl04,0021_kl05,0022_kl06,0023_kl07,0024_kl08
30,31,125.43276603684879,125.33986263233274,124.24572211640118,123.37074659759566,122.98484371435329,123.06315131442494,123.50489497831961,124.47186441819125,125.39435972579068,125.43314747415124,125.43314747415124,125.43314747415124,125.43314747415124,125.43314747415124,125.43314747415124,125.43314747415124,125.43314747415124,125.43303891102795,125.43288046823481,125.43288046823481,125.43288046823481,125.43288046823481,125.43288046823481,125.43288046823481,125.43280564756586
31,32,721.2384047118807,720.7042101359132,714.3718967154904,709.2498173712697,691.6308186726942,663.6444112640901,694.8606094670544,715.6463599166487,721.0175684232962,721.2405979763695,721.2405979763695,721.2405979763695,721.2405979763695,721.2405979763695,721.2405979763695,721.2405979763695,721.2405979763695,721.2399737384108,721.2390626923502,721.2390626923502,721.2390626923502,721.2390626923502,721.2390626923502,721.2390626923502,721.2386324735037
32,33,282.2237235829098,282.0146909227486,279.4437406125079,277.4260932691136,276.41497224861246,276.49392296333264,277.67399064610714,279.9863717787247,282.137309383029,282.22458181684027,282.22458181684027,282.22458181684027,282.22458181684027,282.22458181684027,282.22458181684027,282.22458181684027,282.22458181684027,282.2243375498129,282.22398105352835,282.22398105352835,282.22398105352835,282.22398105352835,282.22398105352835,282.22398105352835,282.2238127070232
33,34,219.50401582652407,219.30011056994155,216.72163392723033,214.64585272365827,213.7519423829134,213.86052957360428,214.96721256537987,217.2719000074625,219.42617589019517,219.5047167179748,219.5047167179748,219.5047167179748,219.5047167179748,219.5047167179748,219.5047167179748,219.5047167179748,219.5047167179748,219.50450105931967,219.50426999608055,219.50426999608055,219.50426999608055,219.50426999608055,219.50426999608055,219.50426999608055,219.50411338665478
34,35,250.87918165279487,250.63064018279604,247.30476696140983,244.3685617081414,242.9956252145184,243.1655939140842,244.90873216344815,248.07701580895898,250.7833998686048,250.87995626347455,250.87995626347455,250.87995626347455,250.87995626347455,250.87995626347455,250.87995626347455,250.87995626347455,250.87995626347455,250.87985356888137,250.87924033542214,250.87924033542214,250.87924033542214,250.87924033542214,250.87924033542214,250.87924033542214,250.87921686237124
35,36,282.2378415227849,281.9345253238491,278.6353407446309,275.97202789121826,274.83757196118876,275.02235970480456,259.9319454034947,278.157842677977,282.13117301553007,282.2384587906111,282.2384587906111,282.2384587906111,282.2384587906111,282.2384587906111,282.2384587906111,282.2384587906111,282.2384587906111,282.2380296738571,282.2380725855621,282.2380725855621,282.2380725855621,282.2380725855621,282.2380725855621,282.2380725855621,282.23787123075516
36,37,972.1105198762014,971.3396729381391,963.0266734830524,941.6321057525314,926.2786567618977,953.588545802565,943.784051493857,959.5591238941852,971.8270490301238,972.1135669719121,972.1135669719121,972.1135669719121,972.1135669719121,972.1135669719121,972.1135669719121,972.1135669719121,972.1135669719121,972.1122253400558,972.1114294560505,972.1114294560505,972.1114294560505,972.1114294560505,972.1114294560505,972.1114294560505,972.1107359000222
37,38,188.15698978794686,188.0176500877567,186.38770635744646,185.08778852733377,184.56905244150866,184.63444997625695,185.3055641849982,186.73117584231684,188.1026790175579,188.15749372486755,188.15749372486755,188.15749372486755,188.15749372486755,188.15749372486755,188.15749372486755,188.15749372486755,188.15749372486755,188.15729567093297,188.15715483276276,188.15715483276276,188.15715483276276,188.15715483276276,188.15715483276276,188.15715483276276,188.15702939843862
38,39,721.2684608537965,720.7054754984192,708.5518367262714,709.2340929941807,656.1123546930272,658.4958176704512,687.5700276913469,715.7634799444213,721.0594260045384,721.2703926119921,721.2703926119921,721.2703926119921,721.2703926119921,721.2703926119921,721.2703926119921,721.2703926119921,721.2703926119921,721.269633405243,721.2690935255905,721.2690935255905,721.2690935255905,721.2690935255905,721.2690935255905,721.2690935255905,721.2686126940146
39,40,313.5978290871169,313.29150576935564,309.2608416648363,305.9022771686737,304.3378311885798,304.53880838929217,306.54378907726743,310.20818489250473,313.47426548362535,313.59882302413473,313.59882302413473,313.59882302413473,313.59882302413473,313.59882302413473,313.59882302413473,313.59882302413473,313.59882302413473,313.5981885182182,313.59806748527126,313.59806748527126,313.59806748527126,313.59806748527126,313.59806748527126,313.59806748527126,313.5979317816207
