i,j,t,r
2,3,30,90.5731
2,3,31,116.5542
2,3,32,118.9923
2,3,33,90.5731
2,3,34,93.55219
2,3,35,96.73394
2,3,36,93.55219
2,3,37,87.77786
2,3,38,86.44398
2,3,39,85.15001
2,3,40,95.11646
2,3,41,93.55219
2,3,42,83.89421
2,3,43,80.33966
2,3,44,79.22081
2,3,45,79.22081
2,3,46,80.33966
2,3,47,80.33966
2,3,48,93.55219
2,3,49,129.8577
2,3,50,118.9923
2,3,51,126.9595
2,3,52,111.9659
2,3,53,101.9342
2,3,54,98.40737
2,3,55,101.9342
2,3,56,87.77786
2,3,57,82.67493
2,3,58,77.07407
2,3,59,73.11168
2,3,60,73.11168
2,3,61,73.11168
2,3,62,73.11168
2,3,63,73.11168
2,3,64,73.11168
2,3,65,73.11168
2,3,66,73.11168
2,3,67,73.11168
2,3,68,73.11168
2,3,69,73.11168
2,3,70,73.11168
2,3,71,73.11168
2,3,72,73.11168
2,3,73,73.11168
2,3,74,73.11168
2,3,75,73.11168
2,3,76,73.11168
2,3,77,73.11168
2,3,78,73.11168
2,3,79,73.11168
2,3,80,73.11168
2,3,81,73.11168
2,3,82,73.11168
2,3,83,73.11168
2,3,84,73.11168
2,3,85,73.11168
2,3,86,87.77786
2,3,87,82.67493
2,3,88,101.9342
2,16,0,67.302
2,16,1,61.07069
2,16,2,56.69623
2,16,3,56.69623
2,16,4,59.24233
2,16,5,77.89997
2,16,6,70.92015
2,16,7,67.302
2,16,8,66.17662
2,16,9,65.08826
2,16,10,58.3686
2,16,11,55.89548
2,16,12,50.86656
2,16,13,50.86656
2,16,14,50.86656
2,16,15,50.86656
2,16,16,55.11703
2,16,17,52.90656
2,16,18,50.86656
2,16,19,61.07069
2,16,20,70.92015
2,16,21,63.0155
2,16,22,58.3686
2,16,23,50.86656
2,16,24,50.86656
2,16,25,50.86656
2,16,26,50.86656
2,16,27,50.86656
2,16,28,50.86656
2,16,29,50.86656
2,16,30,63.0155
2,16,31,81.09235
2,16,32,82.78871
2,16,33,63.0155
2,16,34,65.08826
2,16,35,67.302
2,16,36,65.08826
2,16,37,61.07069
2,16,38,60.14262
2,16,39,59.24233
2,16,40,66.17662
2,16,41,65.08826
2,16,42,58.3686
2,16,43,55.89548
2,16,44,55.11703
2,16,45,55.11703
2,16,46,55.89548
2,16,47,55.89548
2,16,48,65.08826
2,16,49,90.34869
2,16,50,82.78871
2,16,51,88.33214
2,16,52,77.89997
2,16,53,70.92015
2,16,54,68.46632
2,16,55,70.92015
2,16,56,61.07069
2,16,57,57.52026
2,16,58,53.62342
2,16,59,50.86656
2,16,60,50.86656
2,16,61,50.86656
2,16,62,50.86656
2,16,63,50.86656
2,16,64,50.86656
2,16,65,50.86656
2,16,66,50.86656
2,16,67,50.86656
2,16,68,50.86656
2,16,69,50.86656
2,16,70,50.86656
2,16,71,50.86656
2,16,72,50.86656
2,16,73,50.86656
2,16,74,50.86656
2,16,75,50.86656
2,16,76,50.86656
2,16,77,50.86656
2,16,78,50.86656
2,16,79,50.86656
2,16,80,50.86656
2,16,81,50.86656
2,16,82,50.86656
2,16,83,50.86656
2,16,84,50.86656
2,16,85,50.86656
2,16,86,61.07069
2,16,87,57.52026
2,16,88,70.92015
3,2,0,96.73394
3,2,1,87.77786
3,2,2,81.49056
3,2,3,81.49056
3,2,4,85.15001
3,2,5,111.9659
3,2,6,101.9342
3,2,7,96.73394
3,2,8,95.11646
3,2,9,93.55219
3,2,10,83.89421
3,2,11,80.33966
3,2,12,73.11168
3,2,13,73.11168
3,2,14,73.11168
3,2,15,73.11168
3,2,16,79.22081
3,2,17,76.04375
3,2,18,73.11168
3,2,19,87.77786
3,2,20,101.9342
3,2,21,90.5731
3,2,22,83.89421
3,2,23,73.11168
3,2,24,73.11168
3,2,25,73.11168
3,2,26,73.11168
3,2,27,73.11168
3,2,28,73.11168
3,2,29,73.11168
3,2,30,90.5731
3,2,31,116.5542
3,2,32,118.9923
3,2,33,90.5731
3,2,34,93.55219
3,2,35,96.73394
3,2,36,93.55219
3,2,37,87.77786
3,2,38,86.44398
3,2,39,85.15001
3,2,40,95.11646
3,2,41,93.55219
3,2,42,83.89421
3,2,43,80.33966
3,2,44,79.22081
3,2,45,79.22081
3,2,46,80.33966
3,2,47,80.33966
3,2,48,93.55219
3,2,49,129.8577
3,2,50,118.9923
3,2,51,126.9595
3,2,52,111.9659
3,2,53,101.9342
3,2,54,98.40737
3,2,55,101.9342
3,2,56,87.77786
3,2,57,82.67493
3,2,58,77.07407
3,2,59,73.11168
3,2,60,73.11168
3,2,61,73.11168
3,2,62,73.11168
3,2,63,73.11168
3,2,64,73.11168
3,2,65,73.11168
3,2,66,73.11168
3,2,67,73.11168
3,2,68,73.11168
3,2,69,73.11168
3,2,70,73.11168
3,2,71,73.11168
3,2,72,73.11168
3,2,73,73.11168
3,2,74,73.11168
3,2,75,73.11168
3,2,76,73.11168
3,2,77,73.11168
3,2,78,73.11168
3,2,79,73.11168
3,2,80,73.11168
3,2,81,73.11168
3,2,82,73.11168
3,2,83,73.11168
3,2,84,73.11168
3,2,85,73.11168
3,2,86,87.77786
3,2,87,82.67493
3,2,88,101.9342
3,4,0,31.61161
