,id,0000_01_10_2021,0001_02_10_2021,0002_03_10_2021,0003_04_10_2021,0004_05_10_2021,0005_06_10_2021,0006_07_10_2021,0007_08_10_2021,0008_09_10_2021,0009_10_10_2021,0010_11_10_2021,0011_12_10_2021,0012_13_10_2021,0013_14_10_2021,0014_15_10_2021,0015_16_10_2021,0016_17_10_2021,0017_18_10_2021,0018_19_10_2021,0019_20_10_2021,0020_21_10_2021,0021_22_10_2021,0022_23_10_2021,0023_24_10_2021,0024_25_10_2021,0025_26_10_2021,0026_27_10_2021,0027_28_10_2021,0028_29_10_2021,0029_30_10_2021,0030_31_10_2021,0031_01_11_2021,0032_02_11_2021,0033_03_11_2021,0034_04_11_2021,0035_05_11_2021,0036_06_11_2021,0037_07_11_2021,0038_08_11_2021,0039_09_11_2021,0040_10_11_2021,0041_11_11_2021,0042_12_11_2021,0043_13_11_2021,0044_14_11_2021,0045_15_11_2021,0046_16_11_2021,0047_17_11_2021,0048_18_11_2021,0049_19_11_2021,0050_20_11_2021,0051_21_11_2021,0052_22_11_2021,0053_23_11_2021,0054_24_11_2021,0055_25_11_2021,0056_26_11_2021,0057_27_11_2021,0058_28_11_2021,0059_29_11_2021,0060_30_11_2021,0061_01_12_2021,0062_02_12_2021,0063_03_12_2021,0064_04_12_2021,0065_05_12_2021,0066_06_12_2021,0067_07_12_2021,0068_08_12_2021,0069_09_12_2021,0070_10_12_2021,0071_11_12_2021,0072_12_12_2021,0073_13_12_2021,0074_14_12_2021,0075_15_12_2021,0076_16_12_2021,0077_17_12_2021,0078_18_12_2021,0079_19_12_2021,0080_20_12_2021,0081_21_12_2021,0082_22_12_2021,0083_23_12_2021,0084_24_12_2021,0085_25_12_2021,0086_26_12_2021,0087_27_12_2021,0088_28_12_2021,0089_29_12_2021,0090_30_12_2021,0091_31_12_2021
10,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2238874,13.375703,12.11578,10.855857,9.3928969,14.288446,28.186004,35.783587,32.132775,27.019003,23.258076,21.055038,18.998152,17.738229,16.478306,15.848345,15.218383,13.161497,5.5258706,2.0040162,1.0020081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.853849,23.897198,26.216016,21.770249,20.510326,18.438254,15.772257,12.918408
11,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2375491,13.409036,12.138456,10.867876,9.3984252,14.348622,28.293855,35.945404,32.271435,27.128016,23.359917,21.161047,19.089337,17.818757,16.548177,15.912886,15.277596,13.205887,5.5262702,1.9900732,0.99503662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8728392,24.00445,26.341776,21.861715,20.591134,18.525072,15.856751,12.983912
12,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2327114,13.396858666666667,12.129865666666666,10.862872333333334,9.395486433333334,14.326332333333333,28.253842000000002,35.88674833333334,32.22093266666666,27.087731333333334,23.32240566666667,21.12201333333333,19.055412666666665,17.788419333333337,16.521426,15.887929,15.254432333333334,13.187832,5.523979566666667,1.9933286000000001,0.9966643066666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.866208066666666,23.967872999999997,26.298130999999998,21.829372666666668,20.562378999999996,18.493815333333334,15.826036666666667,12.959829
13,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.23370315,13.399086,12.131222999999999,10.86336,9.3953825,14.3301955,28.260733000000002,35.8977975,32.2302765,27.094779,23.329053000000002,21.128939000000003,19.06119,17.793327,16.5254635,15.8915315,15.2576,13.1898515,5.5229018,1.9914502500000002,0.99572514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.86763475,23.976380499999998,26.3077175,21.8360365,20.568173,18.499853,15.831761499999999,12.964127000000001
14,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2383998,13.412251,12.141577,10.870902,9.4017594,14.355359,28.306123,35.959608,32.28434,27.139929,23.370672,21.172203,19.099998,17.829324,16.558649,15.923312,15.287975,13.21577,5.5328447,1.9943309,0.99716543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8737369,24.006856,26.346901,21.867267,20.596593,18.532044,15.864433,12.990696
15,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2383998,13.412251,12.141577,10.870902,9.4017594,14.355359,28.306123,35.959608,32.28434,27.139929,23.370672,21.172203,19.099998,17.829324,16.558649,15.923312,15.287975,13.21577,5.5328447,1.9943309,0.99716543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8737369,24.006856,26.346901,21.867267,20.596593,18.532044,15.864433,12.990696
16,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2383998,13.412251,12.141577,10.870902,9.4017594,14.355359,28.306123,35.959608,32.28434,27.139929,23.370672,21.172203,19.099998,17.829324,16.558649,15.923312,15.287975,13.21577,5.5328447,1.9943309,0.99716543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8737369,24.006856,26.346901,21.867267,20.596593,18.532044,15.864433,12.990696
17,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2383998,13.412251,12.141577,10.870902,9.4017594,14.355359,28.306123,35.959608,32.28434,27.139929,23.370672,21.172203,19.099998,17.829324,16.558649,15.923312,15.287975,13.21577,5.5328447,1.9943309,0.99716543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8737369,24.006856,26.346901,21.867267,20.596593,18.532044,15.864433,12.990696
18,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2383998,13.412251,12.141577,10.870902,9.4017594,14.355359,28.306123,35.959608,32.28434,27.139929,23.370672,21.172203,19.099998,17.829324,16.558649,15.923312,15.287975,13.21577,5.5328447,1.9943309,0.99716543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8737369,24.006856,26.346901,21.867267,20.596593,18.532044,15.864433,12.990696
19,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.24221755,13.4221095,12.1487295,10.875349,9.4047324,14.373603,28.338914,36.0067995,32.325128500000005,27.1728405,23.4012395,21.204003,19.1278595,17.854478999999998,16.5810985,15.9444085,15.3077185,13.2315745,5.536084649999999,1.9928827500000001,0.9964413599999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.87890765,24.034787,26.3807525,21.892758999999998,20.619379,18.557053,15.889200500000001,13.010293
