stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding,stop_timezone,platform_code,vehicle_type
NSR:Quay:70878,,Reitan,,63.031044,7.548688,,,0,NSR:StopPlace:41412,2,,,700
NSR:Quay:70879,,Drege,,62.281162,6.886601,,,0,NSR:StopPlace:41411,2,,,700
NSR:Quay:68504,,Gaupsundet,,63.04692,7.438663,,,0,NSR:StopPlace:39784,2,,,700
NSR:Quay:69836,,Bjerkestrand,,63.048775,7.858483,,,0,NSR:StopPlace:40696,2,,,700
NSR:Quay:65478,,Røsok,,62.741295,6.435485,,,0,NSR:StopPlace:37752,2,,,700
NSR:Quay:68503,,Steinskrysset,,62.570995,7.781788,,,0,NSR:StopPlace:39783,2,,,700
NSR:Quay:69834,,Skarbø,,62.288166,6.966641,,,0,NSR:StopPlace:40695,2,,,700
NSR:Quay:68506,,Steinskrysset,,62.571236,7.783529,,,0,NSR:StopPlace:39783,2,,,700
NSR:Quay:69835,,Bjerkestrand,,63.047913,7.857469,,,0,NSR:StopPlace:40696,2,,,700
NSR:Quay:68505,,Kansdal,,62.9633,8.095039,,,0,NSR:StopPlace:39785,2,,,700
NSR:Quay:68507,,Karihola,,63.126244,7.711531,,,0,NSR:StopPlace:39787,2,,,700
NSR:Quay:69838,,Bjerkås,,63.089493,7.883862,,,0,NSR:StopPlace:40698,2,,,700
NSR:Quay:68509,,Gaustad sør,,62.982887,7.309506,,,0,NSR:StopPlace:39789,2,,,700
NSR:Quay:69839,,Bjerkås,,63.089516,7.884158,,,0,NSR:StopPlace:40698,2,,,700
NSR:Quay:70883,,Reiten,,62.606403,6.360064,,,0,NSR:StopPlace:41417,2,,,700
NSR:Quay:70884,,Reiten,,62.60643,6.360529,,,0,NSR:StopPlace:41417,2,,,700
NSR:Quay:65472,,Vartdal Plast,,62.314526,6.109276,,,0,NSR:StopPlace:37748,2,,,700
NSR:Quay:104394,,Utheimsveien,,63.00713,7.421468,,,0,NSR:StopPlace:61006,2,,,700
NSR:Quay:70885,,Dromneskrysset,,63.38755,8.696757,,,0,NSR:StopPlace:41418,2,,,700
NSR:Quay:65473,,Vartdal Plast,,62.314903,6.110958,,,0,NSR:StopPlace:37748,2,,,700
NSR:Quay:104393,,Utheimsveien,,63.007137,7.421088,,,0,NSR:StopPlace:61006,2,,,700
NSR:Quay:70886,,Dronning Sonjas Plass,,62.471752,6.153521,,,0,NSR:StopPlace:41419,2,,,700
NSR:Quay:104392,,Smenessundet,,63.002705,7.408374,,,0,NSR:StopPlace:61005,2,,,700
NSR:Quay:68500,,Kanestraum ferjekai,,63.053116,8.124529,,,0,NSR:StopPlace:58526,2,,,700
NSR:Quay:69833,,Skarbø,,62.288185,6.966794,,,0,NSR:StopPlace:40695,2,,,700
NSR:Quay:104391,,Smenessundet,,63.0027,7.408084,,,0,NSR:StopPlace:61005,2,,,700
NSR:Quay:70881,,Reiten,,62.34648,5.836759,,,0,NSR:StopPlace:41415,2,,,700
NSR:Quay:68502,,Kanestraum ferjekai,,63.05321,8.125076,,,0,NSR:StopPlace:39782,2,,,1000
NSR:Quay:69830,,Kårvåg Atlanterhavsvegen,,63.009724,7.430241,,,0,NSR:StopPlace:40692,2,,,700
NSR:Quay:70882,,Dromnes,,63.389744,8.659036,,,0,NSR:StopPlace:41416,2,,,700
NSR:Quay:68501,,Kanestraum ferjekai,,63.052914,8.12469,,,0,NSR:StopPlace:58526,2,,,700
NSR:Quay:69831,,Bjerkeset nord,,62.87347,7.637929,,,0,NSR:StopPlace:40693,2,,,700
