id,latitude,longitude
5086221975,62.6744273,6.2665782
5086222078,62.5534554,6.2555462
5086222616,62.602433,6.3515049
5086223398,62.5474213,6.2790391
5086223399,62.5477761,6.2793122
5086223548,62.5323124,6.2741156
5086223679,62.6100655,6.3469491
5086223718,62.6793396,6.2014031
5086223930,62.6027793,6.3301188
5086224171,62.6345425,6.2738442
5086224623,62.5460841,6.2885099
5086224892,62.5534374,6.255209
5086225013,62.6780656,6.2629361
5086225462,62.558314,6.274091
5086225493,62.6369329,6.2716053
5086226267,62.6418438,6.268219
5086226834,62.552811,6.254807
5086227115,62.5338062,6.4178628
5086227642,62.6036726,6.3336056
5086227679,62.6805256,6.2536973
5086227718,62.5609892,6.2796047
5086227827,62.6806484,6.2549178
5086227898,62.6373026,6.2721829
5086228305,62.5456684,6.2879716
5086228766,62.6868493,6.2627601
5086228789,62.6026894,6.3453044
5086229104,62.5496223,6.2791791
5086229465,62.6386526,6.2690717
5086229473,62.5468681,6.2859681
5086229492,62.6634222,6.3219911
5086229906,62.5534759,6.2623137
5086230022,62.6463175,6.2612554
5086230165,62.5345122,6.4219747
5086230178,62.6436367,6.2651032
5086230597,62.6027594,6.3496502
5086230695,62.5483995,6.2697441
5086230726,62.5344632,6.3645853
5086230934,62.642989,6.2665742
5086230937,62.5470057,6.2849773
5086230975,62.6796824,6.1909418
5086231064,62.637503,6.2730479
5086231305,62.5507512,6.2512811
5086231330,62.5910422,6.2829647
5086231793,62.5526901,6.2615159
5086231809,62.5319174,6.2851826
5086231970,62.5526634,6.2597855
5086232037,62.6081185,6.3462258
5086232229,62.5478133,6.2844622
5086232464,62.6373102,6.2722458
5086232880,62.616948,6.2170192
5086233075,62.547529,6.2708515
5086233077,62.5470872,6.2771304
5086234032,62.6220221,6.2099957
5086234052,62.5524653,6.2502379
5086234241,62.5452671,6.2888889
5086234308,62.5457166,6.2893722
5086234428,62.6395289,6.2649086
5086234679,62.5362727,6.4705412
5086235221,62.5463132,6.2922772
5086235245,62.6360023,6.2705852
5086235324,62.5314158,6.2620661
5086236157,62.5455699,6.2875908
5086236321,62.5312226,6.2781446
5086238637,62.6798133,6.2567012
5086238669,62.5515226,6.2549895
5086238973,62.5496035,6.2789791
5086239481,62.5473408,6.2722934
5086239819,62.6858004,6.2375268
5086240442,62.5460286,6.2766399
5086240444,62.6717986,6.2668101
5086240506,62.552617,6.2565827
5086240787,62.5414296,6.2871803
5086241391,62.6802555,6.2529791
5086242774,62.6776254,6.1971751
5086242989,62.5511742,6.2525147
5086243480,62.6405177,6.2659797
5086243483,62.5310522,6.2751472
5086243650,62.5525399,6.2550002
5086243833,62.5440834,6.289515
5086244044,62.5674884,6.2745562
5086244437,62.6742927,6.265663
5086244474,62.5531798,6.2606454
5086244567,62.5343831,6.4257761
5086244593,62.5526448,6.2516578
5086245053,62.5442771,6.2905128
5086245248,62.6384178,6.2719592
5086245272,62.5504697,6.2346912
5086245342,62.6556429,6.327873
5086245397,62.6026926,6.3334228
5086245713,62.5464679,6.2917296
5086245930,62.5603424,6.2772471
5086246112,62.5596162,6.2766928
5086246292,62.6775882,6.1972452
5086246707,62.5459385,6.2900862
5086246744,62.5510974,6.2506658
5086246787,62.6799078,6.1877395
5086246828,62.6107759,6.2054018
5086246882,62.5478004,6.2791144
5086247093,62.5624099,6.2817509
5086247267,62.5517708,6.255128
5086247275,62.6418471,6.2634968
5086247524,62.5522631,6.2514428
5086247579,62.5312355,6.2775735
5086247623,62.6058683,6.323438
5086247636,62.6719806,6.2698992
5086247969,62.5457178,6.277653
5086248139,62.6449663,6.2619601
5086248141,62.5572227,6.2730734
5086248242,62.5320275,6.2959932
5086248285,62.6772019,6.2623041
5086248572,62.5530576,6.2620418
5086248619,62.6071909,6.34912
5086248642,62.5464277,6.2903368
5086248955,62.5322126,6.3238562
5086248969,62.5458646,6.2846629
5086249143,62.5518199,6.2560267
