id,startId,stopId,name,type,length,maxSpeed,list0,list1
6398,7389961969,7389960895,nan,primary,15.987,70,6.411485@6.411446@6.411423@6.411422@6.41143@6.411446,62.432431@62.432403@62.43237@62.432335@62.432314@62.432296
6399,7389961969,7389959910,Magerholmvegen,primary,29.707,70,6.411485@6.411336@6.411114@6.410962@6.410914,62.432431@62.432416@62.432412@62.432401@62.432397
6400,7389961970,7389961972,nan,primary,15.884,70,6.41152@6.411599@6.411665@6.411739@6.411811,62.432253@62.432232@62.432225@62.432226@62.432237
6401,7389961970,7389959909,Flisnesvegen,residential,28.987,50,6.41152@6.411536@6.411545@6.411547@6.411588,62.432253@62.432189@62.432148@62.432082@62.431995
6402,7389961971,7389960391,nan,primary,14.465,70,6.411852@6.411785@6.411713@6.411645@6.411585,62.432451@62.432468@62.432475@62.432474@62.432465
6403,7389961971,7389959911,Langrabben,residential,27.797,50,6.411852@6.411842@6.411827@6.411827@6.411812,62.432451@62.4325@62.432548@62.432609@62.4327
6404,7389961972,7389961125,nan,primary,5.861,70,6.411811@6.411844@6.411899,62.432237@62.432246@62.43227
6405,7389961973,7389961971,nan,primary,7.65,70,6.411942@6.411906@6.411852,62.432397@62.432426@62.432451
6406,7389961974,7389962917,Magerholmvegen,primary,12.128,70,,
6407,7389961974,7389963814,Magerholmvegen,primary,792.768,70,6.466391@6.465696@6.465432@6.4646675@6.464126@6.463526@6.463158@6.462766@6.461975@6.461574@6.461167@6.460753@6.460274@6.459477@6.45891@6.45833@6.456141@6.454167@6.453182@6.452597@6.452044@6.451717,62.433814@62.433993@62.434059@62.4342452@62.434374@62.434507@62.434584@62.434664@62.434819@62.434889@62.434953@62.435011@62.435071@62.435159@62.435214@62.435263@62.435427@62.43557@62.435643@62.43569@62.43574@62.435776
6408,7389961976,7389962624,Skråvikvegen,residential,88.899,30,6.405385@6.405421@6.405533@6.405617@6.4056679@6.40572@6.405783@6.405903@6.406156@6.406459@6.406887,62.424697@62.424723@62.424798@62.42484@62.4248558@62.424872@62.424886@62.424905@62.424933@62.424976@62.425027
6409,7389961976,7389961503,Myråkerbakken,residential,162.304,30,6.405385@6.405422@6.405669@6.405721@6.405803@6.405863@6.406335@6.406391@6.406515@6.406573@6.406643@6.406706@6.406763@6.406867@6.406907@6.406945@6.407001@6.407019@6.40703@6.407031@6.40702@6.407004@6.406948@6.406863@6.406763@6.406657@6.406368,62.424697@62.424679@62.424553@62.424543@62.42455@62.424557@62.424646@62.424652@62.424657@62.424654@62.424646@62.424636@62.424622@62.424587@62.424567@62.424542@62.42449@62.424462@62.424428@62.424402@62.424345@62.424317@62.424265@62.424219@62.424182@62.424156@62.424099
6410,7389961976,7389961119,Skråvikvegen,residential,181.828,30,6.405385@6.405079@6.40491@6.404772@6.404622@6.404341@6.404161@6.403986@6.403704@6.403509@6.403414@6.403243@6.403066@6.402911@6.401925,62.424697@62.424751@62.424773@62.424784@62.424789@62.424783@62.424769@62.42476@62.424738@62.424718@62.424711@62.424702@62.424699@62.424706@62.424812
6411,7389962010,7389962089,Løvika,residential,913.785,nan,6.450266@6.450325@6.450433@6.450706@6.45108@6.451301@6.451425@6.451739@6.452017@6.452131@6.452219@6.452302@6.452349@6.452399@6.452589@6.452894@6.452981@6.453096@6.45321@6.453229@6.453234@6.453256@6.453694@6.453858@6.453965@6.454112@6.454561@6.454761@6.454917@6.455082@6.455622@6.456699@6.456869@6.457145@6.457277@6.45758@6.457988@6.458329@6.458484@6.458621@6.458791@6.458976@6.459481@6.459875@6.460367@6.460564@6.460798@6.461238@6.461569@6.461821@6.461945@6.462073@6.462255@6.462376@6.462534@6.462696@6.462877@6.463483@6.463951@6.464661@6.465062@6.4652503,62.430727@62.430745@62.430771@62.430822@62.430884@62.430909@62.430931@62.430999@62.431051@62.431085@62.43112@62.431183@62.431229@62.431268@62.431398@62.431593@62.431689@62.431844@62.432024@62.432081@62.432192@62.432267@62.432259@62.43226@62.432265@62.432276@62.43233@62.432346@62.432355@62.432354@62.432341@62.432311@62.432311@62.432324@62.432334@62.432399@62.432518@62.432626@62.43267@62.432703@62.432736@62.432764@62.432827@62.432877@62.43295@62.432974@62.432995@62.433006@62.433025@62.433046@62.433063@62.433092@62.433176@62.433237@62.433298@62.43335@62.433399@62.433528@62.433638@62.433799@62.433894@62.4339348
6412,7389962052,7389962191,Flisnesvegen,residential,138.683,30,6.411815@6.411855@6.411874@6.41187@6.411834@6.411768@6.411582@6.411469@6.411332@6.411018,62.431044@62.430945@62.430858@62.430746@62.430641@62.430532@62.430305@62.430209@62.43011@62.429897
6413,7389962052,7389960859,Flisnesvegen,residential,36.378,30,6.411815@6.411696@6.411668,62.431044@62.431301@62.431364
6414,7389962052,7389961925,Djupmyrvegen,residential,29.832,30,6.411815@6.411945@6.412136@6.412392,62.431044@62.431052@62.431058@62.431069
6415,7389962089,7389962010,Løvika,residential,913.785,nan,6.4652503@6.465062@6.464661@6.463951@6.463483@6.462877@6.462696@6.462534@6.462376@6.462255@6.462073@6.461945@6.461821@6.461569@6.461238@6.460798@6.460564@6.460367@6.459875@6.459481@6.458976@6.458791@6.458621@6.458484@6.458329@6.457988@6.45758@6.457277@6.457145@6.456869@6.456699@6.455622@6.455082@6.454917@6.454761@6.454561@6.454112@6.453965@6.453858@6.453694@6.453256@6.453234@6.453229@6.45321@6.453096@6.452981@6.452894@6.452589@6.452399@6.452349@6.452302@6.452219@6.452131@6.452017@6.451739@6.451425@6.451301@6.45108@6.450706@6.450433@6.450325@6.450266,62.4339348@62.433894@62.433799@62.433638@62.433528@62.433399@62.43335@62.433298@62.433237@62.433176@62.433092@62.433063@62.433046@62.433025@62.433006@62.432995@62.432974@62.43295@62.432877@62.432827@62.432764@62.432736@62.432703@62.43267@62.432626@62.432518@62.432399@62.432334@62.432324@62.432311@62.432311@62.432341@62.432354@62.432355@62.432346@62.43233@62.432276@62.432265@62.43226@62.432259@62.432267@62.432192@62.432081@62.432024@62.431844@62.431689@62.431593@62.431398@62.431268@62.431229@62.431183@62.43112@62.431085@62.431051@62.430999@62.430931@62.430909@62.430884@62.430822@62.430771@62.430745@62.430727
6416,7389962089,7389961234,Løvika,residential,47.451,30,6.4652503@6.46545@6.465506@6.465639@6.465698@6.465776@6.465835@6.465847,62.4339348@62.433983@62.434@62.434057@62.434089@62.434139@62.434205@62.434237
6417,7389962089,7389963834,Nedregotten,residential,366.22,30,6.4652503@6.465038@6.464802@6.464113@6.463908@6.463734@6.463469@6.462778@6.46183@6.461663@6.461548@6.461446@6.461069@6.460873@6.460734@6.460521@6.460298@6.459675@6.459346@6.459007@6.458571,62.4339348@62.433991@62.434054@62.434228@62.434274@62.434317@62.434374@62.434513@62.434705@62.434736@62.434751@62.434765@62.434807@62.43482@62.43482@62.434815@62.434804@62.434761@62.434746@62.43475@62.434783
6418,7389962125,7389963352,Elveberget,residential,97.804,30,6.443188@6.44335@6.443485@6.443637@6.443702@6.443888@6.44399@6.444138@6.444843,62.435754@62.435747@62.435743@62.43573@62.435721@62.43567@62.43564@62.435581@62.435363
